Buurt2025;buurtnaam2025
00860508;Gorredijk-Buitengebied
00860601;Hemrik-Kom
00860602;Hemrik-Buitengebied
00860701;Jonkerslân-Kom
00860702;Jonkerslân-Buitengebied
00860801;Langezwaag-Kom
00860802;Langezwaag-Buitengebied
00860901;Lippenhuizen-Kom
00860902;Lippenhuizen-Buitengebied
00861001;Luxwoude-Kom
00861002;Luxwoude-Buitengebied
00861101;Nij Beets-Kom
00861102;Nij Beets-Buitengebied
00861301;Siegerswoude-Kom
00861302;Siegerswoude-Buitengebied
00861401;Terwispel-Kom
00861402;Terwispel-Buitengebied
00861501;Tijnje-Kom
00861502;Tijnje-Buitengebied
00861601;Ureterp-Centrum
00861602;Ureterp-Buorfinne
00861603;Ureterp-Gilden
00861604;Ureterp-De Ekers
00861605;Ureterp-Fûgelliet
00861606;Ureterp-Drachten-Azeven
00861607;Ureterp-Buitengebied
00861701;Wijnjewoude-Centrum
00861702;Wijnjewoude-Gentiaan
00861703;Wijnjewoude-Buitengebied-Kleine Groningen
00880000;Schiermonnikoog
00880009;Verspreide huizen Schiermonnikoog
00889998;Buitenwater
00900101;Drachten centrum
00900201;De Wiken noord
00900202;De Wiken west
00900203;De Wiken noordoost
00900204;De Wiken centrum
00900205;De Wiken zuid
00900206;De Wiken oost
00900301;De Peppel
00900302;De Singels west
00900303;De Singels oost
00900304;De Singels zuid
00900401;De Drait Zuid
00900402;De Drait west
00900403;De Drait noordoost
00900404;De Drait zuidoost
00900405;De Drait noordwest
00900406;De Drait zuidwest
00900501;Drachtstervaart west
00900502;Drachtstervaart oost
00900601;De Venen noord
00900602;De Venen centrum
00900603;De Venen zuid
00900701;De Folgeren zuidwest
00900702;De Folgeren noord
00900703;De Folgeren centrum
00900704;Fennepark
00900705;Burmaniapark
00900706;Vrijburgh
00900801;De Swetten west
00900802;De Swetten centrum
00900803;De Swetten oost
00900901;De Bouwen noord
00900902;De Bouwen west
00900903;De Bouwen oost
00900904;De Bouwen zuid
00901001;Noord-Oost noord
00901002;Noord-Oost west
00901003;Noord-Oost zuid
00901004;Noord-Oost oost
00901101;De Haven
00901201;A7 Noord
00901202;Waldwei oost
00901301;De Trisken centrum
00901302;De Trisken rondom
00901303;Himsterhout
00902104;Opeinde, onder de Vaart
00902105;Opeinde, boven de Vaart
00902109;Nijega
00902110;Oudega
00902114;De Tike
00902201;Buitengebied west
00902202;De Wilgen
00902203;De Wilgen, Sanding
00902206;Boornbergum
00902212;Smalle Ee
00902213;Goengahuizen
00902215;De Veenhoop
00902216;Kortehemmen
00902307;Drachtstercompagnie
00902308;Houtigehage
00902311;Rottevalle
00930000;West-Terschelling
00930002;Verspreide huizen West-Terschelling
00930110;Midsland
00930111;Verspreide huizen Midsland-Zuid
00930112;Verspreide huizen Midsland-Noord
00930213;Formerum
00930214;Verspreide huizen Formerum-Zuid
00930215;Verspreide huizen Formerum-Noord
00930316;Lies
00930317;Verspreide huizen Lies-Zuid
00930418;Koegelwieck
00930419;Hoorn
00930420;Verspreide huizen Hoorn-Zuid
00930521;Oosterend
00930522;Verspreide huizen Oosterend-Zuid
00930523;De Boschplaat
00939998;Buitenwater
00960000;Oost-Vlieland
00960009;Verspreide huizen Vlieland
00969998;Buitenwater
00980001;Wolvega-Schipsloot
00980002;Wolvega-Om de Noort
00980003;Wolvega-Wolvega Noord
00980004;Wolvega-De Meulepolle
00980005;Wolvega-Vogelbuurt
00980006;Wolvega-Stuyvesantbuurt
00980007;Wolvega-Stationsbuurt
00980008;Wolvega-De Scheene
00980009;Wolvega-Tuindorp
00980010;Wolvega-Schildersbuurt
00980011;Wolvega-De Heidepolle
00980012;Wolvega-Oranjebuurt
00980013;Wolvega-De Muziekbuurt
00980014;Wolvega-Centrum
00980015;Wolvega-Lindenoord
00980016;Wolvega-Staatsliedenbuurt
00980017;Wolvega-Bloemenbuurt
00980018;Wolvega-De Stedes
00980019;Wolvega-Vlinderwijk
00980020;Wolvega-Lindewijk
00980021;Wolvega-Buitengebied
00980101;Nijeholtwolde
00980102;Oldeholtwolde
00980103;Ter Idzard
00980104;Ter Idzard-Buitengebied
00980201;Nijelamer
00980202;Oldelamer
00980301;Langelille
00980302;Langeville-Buitengebied
00980303;Munnekeburen
00980304;Munnekeburen-Buitengebied
00980305;Nijetrijne
00980401;Scherpenzeel
00980402;Scherpenzeel-Buitengebied
00980403;Slijkenburg-Spanga
00980501;Oldetrijne
00980502;Sonnega
00980601;Blesdijke
00980602;Blesdijke-Buitengebied
00980701;De Blesse
00980702;Peperga
00980801;Steggerda
00980802;Steggerda-Buitengebied
00980901;De Hoeve
00980902;De Hoeve-Buitengebied
00980903;Vinkega
00981001;Noordwolde-Geldering
00981002;Noordwolde-Industrie
00981003;Noordwolde-Hoofdstraat
00981004;Noordwolde-Haenepolle
00981005;Noordwolde-Rotanwijk
00981006;Noordwolde-Recreatie
00981007;Noordwolde-De Stelling
00981008;Noordwolde-Zuid
00981009;Noordwolde-Buitengebied
00981101;Oosterstreek
00981102;Oosterstreek-Buitengebied
00981201;Zandhuizen
00981301;Boijl
00981302;Boijl-Buitengebied
00981401;Nijeholtpade
00981402;Nijeholtpade-Buitengebied
00981501;Oldeholtpade
00981502;Oldeholtpade-Buitengebied
01060000;Brinkkwartier
01060001;Erfgoedkwartier
01060002;Overcingel
01060003;Oranjebuurt
01060004;Galgenveld
01060005;Koopmanskwartier
01060006;Cultureelkwartier
01060007;Oude Gasfabriek
01060008;De Hertenkamp
01060009;Asserbos
01060010;De Esch
01060011;Bomenbuurt
